Sample file:
In ARC-WMI corpus, the readability annotation carried out at sentence level.each sentences from each WMIs have been evaluated based on
three readability levels (Easy, intermediate and difficult). A total of 4476 sentences and about 61K words were collected from 94WMIs. 
The WMIs have been collected from two sources: Saudi Food and Drug Authority (SFDA) and King Abdullah Bin Abdulaziz Arabic Health Encyclopaedia (KAAHE), 

The tags set for the annotation defined as integer values related to text difficulty level,(1: easy; 2: intermediate; 3: difficult).  		
		
		
		
SentenceID	Value (Sentence)	annotation value 
FDA1_S0_1	تحتوي أقراص ليفوكس على دواء يسمى ليفوفلوكساسين والذي يستخدم في علاج المرضى من عمر ١٨ عاما فأكثر.	1
FDA1_S0_2	تنتمي مادة ليفوفلوكساسين لإحدى مجموعات المضادات الحيوية والتي تسمى الكوينولونات.	2
FDA1_S0_3	تعمل مادة ليفوفلوكساسين على قتل البكتيريا التي تسبب الأمراض المعدية في جسمك.	1
FDA1_S0_4	تستخدم أقراص ليفوكس في علاج الأمراض المعدية التي تصيب الجيوب الأنفية.	2
FDA1_S0_5	تستخدم أقراص ليفوكس في علاج الأمراض المعدية التي تصيب الرئتين وذلك في الأفراد الذين يعانون من مشاكل تنفسية طويلة الأمد أو الذين يعانون من الالتهاب الرئوي.	1
FDA1_S0_6	تستخدم أقراص ليفوكس في علاج الأمراض المعدية التي تصيب الجهاز البولي ويشمل الكلى و المثانة.	2
FDA1_S0_7	تستخدم أقراص ليفوكس في علاج الأمراض المعدية التي تصيب غدة البروستاتا وذلك في حالة حدوث العدوى طويلة الأمد.	3
FDA1_S0_8	تستخدم أقراص ليفوكس في علاج الأمراض المعدية التي تصيب الجلد و الأنسجة تحت الجلد والتي تشمل العضلات، وتسمى أيضا الأنسجة تحت الجلد بالأنسجة الرخوة.	2
FDA1_S0_9	في بعض الأحيان تكون الفيروسات سببا للإصابة بالأمراض المعدية، ومثال على ذلك حالات العدوى الفيروسية التي تصيب الجيوب الأنفية والرئتين مثل حالات البرد والأنفلونزا.	2
FDA1_S0_10	إن المضادات الحيوية وتشمل ليفوكس، لا تقوم بقتل الفيروسات.	2
FDA1_S1_11	لا تستعمل هذا الدواء واستشر الطبيب المعالج إذا كنت قد أصبت سابقا بمرض الصرع.	1
FDA1_S1_12	لا تستعمل هذا الدواء واستشر الطبيب المعالج إذا كانت لديك مشاكل بأوتار العضلات مثل التهاب الأوتار والمتعلقة باستخدام المضادات الحيوية التي تنتمي لمجموعة الكوينولونات.	3
FDA1_S1_13	يجب التأكد من الطبيب أو الصيدلي قبل تناول هذا الدواء إذا كان عمرك ٦٠ عاما أو أكثر .	1
FDA1_S1_14	يجب التأكد من الطبيب أو الصيدلي قبل تناول هذا الدواء إذا تتناول أدوية من مجموعة الكورتيكوستيرويدات.	3
KAAHE2_S0_1	يُعطى الدَّواءُ عن طَريق الفَم كما يلي:- بعمر أقل من سَنتين: لا يُنصَح بإعطائه.	1
KAAHE2_S0_2	يُعطى الدَّواءُ عن طَريق الفَم كما يلي: بعمر 2-5 سَنوات: يُمضَغ قرص واحد عيار 4 ملغ/اليوم، في المساء.	2
KAAHE2_S0_3	يُعطى الدَّواءُ عن طَريق الفَم كما يلي: بعمر 6-14 سَنة: يُمضَغ قرص واحد عيار 5 ملغ/اليوم، في المساء.	2
KAAHE2_S0_4	يُعطى الدَّواءُ عن طَريق الفَم كما يلي: الأطفال بعمر 15 سَنة أو أكثر والبالغون: 10 ملغ/اليوم، في المساء.	1
KAAHE2_S1_5	مونتيلوكاست الصُّوديوم هو مُضادٌّ انتِقائي لمستقبلات اللوكوتريين، فعَّال فموياً، ذو انجذاب عالٍ وانتقائي لتَثبيط مستقبلات سيستينيل اللُّوكوتريين CysLT1.	3
KAAHE2_S1_6	يَعمَل على إعاقة عمل اللُّوكوتريين، وهو مادَّةٌ كيميائيَّة موجودة بشكلٍ طَبيعي في الرئتين، والتي تسبِّب تَضيُّقاً في المسالك الهوائية والتِهاباً في الرئتين، ممَّا يُؤدِّي إلى ظهور أعراض الربو.	3
KAAHE2_S1_7	كما يُسهم اللُّوكوتريين أيضاً في أعراض التحسُّس؛ لذا فإنَّ إعاقةَ عمل اللُّوكوتريين تُحسِّن من أعراض التحسُّس الموسمي.		3
KAAHE2_S2_8	يُستخدَم هذا الدَّواءُ في المُعالجة والوقاية من تَحسُّس الصَّدر (الرَّبو).		1
KAAHE2_S3_9	إذا كان لدى المَريض تَحَسُّسٌ تجاه المونتيلوكاست أو أيِّ مُكَوِّن آخَر في هذا الدَّواء.		1

